employees,revenue,venture,sbir,state,zip,tech,tech_broad,campus,latitude,longitude,city,state,county,zip,congressional,state_assembly,state_senate
,,"$800,000",,CA,94111,Software and Services,Information Technology,UC Davis,37.797927,-122.3990393,San Francisco,CA,San Francisco County,94111,CA12,Assembly District 17,State Senate District 11
4,"$220,000",,,CA,94568,Advanced Materials,Advanced Materials,UC Davis,37.71454869,-121.9195584,Dublin,CA,Alameda County,94568,CA15,Assembly District 16,State Senate District 7
,,,,CA,96001,Agriculture,Agriculture,UC Davis,40.51647496,-122.3659848,Redding,CA,Shasta County,96001,CA01,Assembly District 1,State Senate District 1
7,"$197,000",,,CA,95618,Energy,Energy,UC Davis,38.53049937,-121.7458522,El Macero,CA,Yolo County,95618,CA03,Assembly District 4,State Senate District 3
6,"$680,000","$8,500,000",,CA,93722,Energy,Energy,UC Davis,36.80823892,-119.8728069,Fresno,CA,Fresno County,93722,CA22,Assembly District 23,State Senate District 8
3,"$200,000","$880,000",,CA,92121,Medical Diagnostics,Medical,UC Davis,32.90002985,-117.2232262,San Diego,CA,San Diego County,92121,CA52,Assembly District 77,State Senate District 39
,,,"$149,895",CA,94704,Electronic Systems and Components,Electronic Systems,UC Davis,37.870591,-122.272879,Berkeley,CA,Alameda County,94704,CA13,Assembly District 15,State Senate District 9
7,"$410,000",,,CA,96007,Agriculture,Agriculture,UC Davis,40.48035618,-122.2737683,Anderson,CA,Shasta County,96007,CA01,Assembly District 1,State Senate District 1
23,"$2,200,000","$6,056,000","$10,302,595",WI,53711,Research Tools,Research Tools,UC Davis,43.021252,-89.417973,Madison,WI,Dane County,53711,WI02,Assembly District 47,State Senate District 16
,,,,TX,76271,Agriculture,Agriculture,UC Davis,33.46678,-96.91834,Tioga,TX,Grayson County,76271,TX04,State House District 62,State Senate District 30
13,"$800,000","$10,000,000",,CA,95834,Agriculture,Agriculture,UC Davis,38.64663056,-121.5021945,Sacramento,CA,Sacramento County,95834,CA03,Assembly District 7,State Senate District 6
,,,,CA,95618,Medical Diagnostics,Medical,UC Davis,38.55030163,-121.6781149,El Macero,CA,Yolo County,95618,CA03,Assembly District 4,State Senate District 3
35,"$6,100,000","$41,381,000",,CA,95630,"Communications, Information Technology, and Data Processing",Information Technology,UC Davis,38.64952771,-121.1220422,Folsom,CA,Sacramento County,95630,CA07,Assembly District 6,State Senate District 1
2,"$130,000",,,CA,95616,Medical Devices,Medical,UC Davis,38.55413,-121.798469,Davis,CA,Yolo County,95616,CA03,Assembly District 4,State Senate District 3
52,"$5,460,000",,"$50,000",CA,92618,Medical Devices,Medical,UC Davis,33.64693,-117.7213485,Irvine,CA,Orange County,92618,CA45,Assembly District 68,State Senate District 37
31,"$3,500,000","$10,250,000","$5,370,054",CO,80524,Medical Therapeutics,Medical,UC Davis,40.647612,-105.029257,Fort Collins,CO,Larimer County,80524,CO02,State House District 49,State Senate District 15
,,,,CA,95826,Medical Devices,Medical,UC Davis,38.54087779,-121.4091168,Sacramento,CA,Sacramento County,95826,CA06,Assembly District 7,State Senate District 6
95,"$9,700,000","$42,689,000",,CA,95014,"Communications, Information Technology, and Data Processing",Information Technology,UC Davis,37.32280706,-122.0313818,Cupertino,CA,Santa Clara County,95014,CA17,Assembly District 28,State Senate District 15
3,"$180,000",,,CA,95630,Software and Services,Information Technology,UC Davis,38.65130069,-121.1388345,Folsom,CA,Sacramento County,95630,CA07,Assembly District 6,State Senate District 1
1,"$100,000",,,CA,92103,Medical Diagnostics,Medical,UC Irvine,32.74262428,-117.1461549,San Diego,CA,San Diego County,92103,CA53,Assembly District 78,State Senate District 39
,,,,CANADA,V6C1H2CA,Medical Therapeutics,Medical,UC Irvine,,,,,,,,,
2,"$110,000","$4,560,000",,CA,95054,Medical Devices,Medical,UC Irvine,37.405699,-121.98013,Santa Clara,CA,Santa Clara County,95054,CA17,Assembly District 25,State Senate District 10
1,"$110,000",,,CA,94061,Medical Therapeutics,Medical,UC Irvine,37.461768,-122.252879,Redwood City,CA,San Mateo County,94061,CA18,Assembly District 22,State Senate District 13
150,"$24,500,000",,,CA,92618,Software and Services,Information Technology,UC Irvine,33.535209,-117.7426611,Irvine,CA,Orange County,92618,CA48,Assembly District 74,State Senate District 37
,,,"$133,000",CA,92121,Medical Therapeutics,Medical,UC Irvine,32.87781831,-117.213137,San Diego,CA,San Diego County,92121,CA52,Assembly District 78,State Senate District 39
13,"$1,400,000","$500,000","$10,132,911",CA,92618,Research Tools,Research Tools,UC Irvine,33.66127991,-117.7436165,Irvine,CA,Orange County,92618,CA45,Assembly District 68,State Senate District 37
7,"$530,000",,,CA,92618,Medical Therapeutics,Medical,UC Irvine,33.641579,-117.73269,Irvine,CA,Orange County,92618,CA45,Assembly District 74,State Senate District 37
,,,,CA,92618,Medical Therapeutics,Medical,UC Irvine,33.66072737,-117.7516705,Irvine,CA,Orange County,92618,CA45,Assembly District 74,State Senate District 37
,,,,CA,95616,Research Tools,Research Tools,UC Irvine,38.55413,-121.798469,Davis,CA,Yolo County,95616,CA03,Assembly District 4,State Senate District 3
4,"$360,000",,,CA,92625,Medical Therapeutics,Medical,UC Irvine,33.610323,-117.844768,Corona del Mar,CA,Orange County,92625,CA48,Assembly District 74,State Senate District 37
2,"$73,000",,,CA,90069,Medical Therapeutics,Medical,UC Irvine,34.084664,-118.3702603,West Hollywood,CA,Los Angeles County,90069,CA28,Assembly District 50,State Senate District 26
3,$0,"$47,950,000","$1,109,889",NJ,7452,Medical Therapeutics,Medical,UC Irvine,40.96303367,-74.12992233,Glen Rock,NJ,Bergen County,7452,NJ05,General Assembly District 38,State Senate District 38
1,"$71,000",,,CA,92697,Medical Diagnostics,Medical,UC Irvine,33.640302,-117.769442,Irvine,CA,Orange County,92697,CA45,Assembly District 74,State Senate District 37
,,,,TX,78731,Medical Devices,Medical,UC Irvine,30.345554,-97.769769,Austin,TX,Travis County,78731,TX25,State House District 48,State Senate District 14
,,,,CA,92604,Software and Services,Information Technology,UC Irvine,33.683951,-117.808077,Irvine,CA,Orange County,92604,CA45,Assembly District 74,State Senate District 37
43,"$4,600,000","$38,842,000",,CA,92617,Energy,Energy,UC Irvine,33.64086,-117.85531,Huntington Beach,CA,Orange County,92617,CA45,Assembly District 74,State Senate District 37
7,"$550,000",,,CA,92653,Medical Devices,Medical,UC Irvine,33.595714,-117.715535,Laguna Hills,CA,Orange County,92653,CA45,Assembly District 73,State Senate District 36
,,,,CA,94028,Medical Diagnostics,Medical,UC Irvine,37.370194,-122.218176,Portola Valley,CA,San Mateo County,94028,CA18,Assembly District 24,State Senate District 13
2,"$150,000",,"$150,000",CA,92614,Electronic Systems and Components,Electronic Systems,UC Irvine,33.69018903,-117.8608106,Irvine,CA,Orange County,92614,CA45,Assembly District 74,State Senate District 37
1,"$110,000",,"$225,000",CA,92697,Advanced Materials,Advanced Materials,UC Irvine,33.640302,-117.769442,Irvine,CA,Orange County,92697,CA45,Assembly District 74,State Senate District 37
39,"$5,600,000","$122,500,000","$200,000",CA,92653,Medical Devices,Medical,UC Irvine,33.57408454,-117.6748303,Laguna Hills,CA,Orange County,92653,CA45,Assembly District 73,State Senate District 36
1,"$84,000",,,CA,95409,Medical Therapeutics,Medical,UC Irvine,38.46579159,-122.6534595,Santa Rosa,CA,Sonoma County,95409,CA05,Assembly District 2,State Senate District 2
32,"$3,400,000","$69,263,000","$427,818",CA,92618,Medical Devices,Medical,UC Irvine,33.64664138,-117.6641608,Irvine,CA,Orange County,92620,CA45,Assembly District 68,State Senate District 37
,,"$20,000,000",,CA,92122,Research Tools,Research Tools,UC Irvine,32.856847,-117.208027,San Diego,CA,San Diego County,92122,CA52,Assembly District 78,State Senate District 39
4,"$350,000",,,CA,92614,Software and Services,Information Technology,UC Irvine,33.68561975,-117.8347282,Irvine,CA,Orange County,92614,CA45,Assembly District 74,State Senate District 37
30,"$4,300,000",,"$4,071,188",MS,39401,Research Tools,Research Tools,UC Irvine,31.245138,-89.28071,Hattiesburg,MS,Forrest County,39401,MS04,State House District 87,State Senate District 45
7,"$400,000","$32,000",,CA,92653,Research Tools,Research Tools,UC Irvine,33.57911602,-117.7010193,Laguna Hills,CA,Orange County,92653,CA45,Assembly District 73,State Senate District 36
42,"$4,300,000","$26,175,595","$3,666,063",CA,92101,Medical Therapeutics,Medical,UC Irvine,32.71460508,-117.1721349,San Diego,CA,San Diego County,92101,CA52,Assembly District 78,State Senate District 39
2,"$71,000",,,CA,92660,Medical Therapeutics,Medical,UC Irvine,33.64138953,-117.8737989,Newport Beach,CA,Orange County,92660,CA48,Assembly District 74,State Senate District 37
,,"$15,300,000","$100,000",CA,92612,Medical Therapeutics,Medical,UC Irvine,33.65844,-117.826009,Irvine,CA,Orange County,92612,CA45,Assembly District 74,State Senate District 37
,,"$3,500,000",,CA,92122,Medical Therapeutics,Medical,UC Irvine,32.856847,-117.208027,San Diego,CA,San Diego County,92122,CA52,Assembly District 78,State Senate District 39
4,"$230,000",,,CA,92780,Energy,Energy,UC Irvine,33.659325,-117.83414,Tustin,CA,Orange County,92780,CA45,Assembly District 74,State Senate District 37
,,,,CA,92614,Medical Therapeutics,Medical,UC Irvine,33.69390476,-117.8491327,Irvine,CA,Orange County,92614,CA45,Assembly District 74,State Senate District 37
4,"$10,000",,"$99,730",CA,92620,Medical Therapeutics,Medical,UC Irvine,33.72338745,-117.7568165,Irvine,CA,Orange County,92620,CA45,Assembly District 68,State Senate District 37
5,"$100,000",,"$6,434,141",CA,92612,Medical Devices,Medical,UC Irvine,33.65844,-117.826009,Irvine,CA,Orange County,92612,CA45,Assembly District 74,State Senate District 37
2,"$180,000","$750,000",,CA,95119,Research Tools,Research Tools,UC Irvine,37.23197802,-121.7781887,San Jose,CA,Santa Clara County,95119,CA19,Assembly District 29,State Senate District 17
3,"$1,500,000",,,CA,92091,Medical Therapeutics,Medical,UC Irvine,33.016044,-117.243552,Rancho Santa Fe,CA,San Diego County,92091,CA49,Assembly District 77,State Senate District 36
,,,,CA,92618,Medical Devices,Medical,UC Irvine,33.66377201,-117.7462887,Irvine,CA,Orange County,92618,CA45,Assembly District 68,State Senate District 37
,,,,CA,92637,Energy,Energy,UC Irvine,33.612925,-117.731443,Orange,CA,Orange County,92637,CA45,Assembly District 74,State Senate District 37
10,"$730,000",,"$4,096,443",CA,92617,Medical Diagnostics,Medical,UC Irvine,33.64200208,-117.8510031,Huntington Beach,CA,Orange County,92617,CA45,Assembly District 74,State Senate District 37
7,"$750,000",,"$1,641,689",CA,92618,Electronic Systems and Components,Electronic Systems,UC Irvine,33.65445,-117.7346251,Irvine,CA,Orange County,92618,CA45,Assembly District 68,State Senate District 37
2,"$87,000",,,CA,95616,Medical Therapeutics,Medical,UC Irvine,38.55413,-121.798469,Davis,CA,Yolo County,95616,CA03,Assembly District 4,State Senate District 3
,,,,CA,92660,Medical Diagnostics,Medical,UC Irvine,33.637771,-117.875189,Newport Beach,CA,Orange County,92660,CA48,Assembly District 74,State Senate District 37
,,,"$100,000",CA,94404,Medical Therapeutics,Medical,UC Irvine,37.56617276,-122.2797987,San Mateo,CA,San Mateo County,94404,CA14,Assembly District 22,State Senate District 13
,,,,CA,92629,Medical Therapeutics,Medical,UC Irvine,33.48161534,-117.6967241,Dana Point,CA,Orange County,92629,CA49,Assembly District 73,State Senate District 36
200,"$35,900,000","$113,155,000",,CA,95134,Research Tools,Research Tools,UC Irvine,37.38966613,-121.9354198,San Jose,CA,Santa Clara County,95134,CA17,Assembly District 25,State Senate District 10
,,,,CA,92037,Medical Therapeutics,Medical,UC Irvine,32.85054332,-117.2442708,La Jolla,CA,San Diego County,92037,CA52,Assembly District 78,State Senate District 39
,,,,CA,92617,Software and Services,Information Technology,UC Irvine,33.63484998,-117.8409299,Huntington Beach,CA,Orange County,92617,CA45,Assembly District 74,State Senate District 37
3,"$130,000",,,AL,35806,Medical Therapeutics,Medical,UC Irvine,34.74412847,-86.66801947,Huntsville,AL,Madison County,35806,AL05,State House District 53,State Senate District 2
2,"$91,000","$9,610,000","$2,645,586",CA,92660,Electronic Systems and components,Electronic Systems,UC Irvine,33.65943022,-117.8608182,Newport Beach,CA,Orange County,92660,CA45,Assembly District 74,State Senate District 37
4,"$310,000",,,CA,92782,Research Tools,Research Tools,UC Irvine,33.739689,-117.78471,Tustin,CA,Orange County,92782,CA45,Assembly District 68,State Senate District 37
,,,,CA,92011,Research Tools,Research Tools,UC Irvine,33.107582,-117.292182,Castle Park,CA,San Diego County,92011,CA49,Assembly District 76,State Senate District 36
2,"$170,000",,,CA,92660,Software and Services,Information Technology,UC Irvine,33.637771,-117.875189,Newport Beach,CA,Orange County,92660,CA48,Assembly District 74,State Senate District 37
,,"$3,000,000",,CA,95128,Medical Devices,Medical,UC Irvine,37.3170548,-121.9501198,San Jose,CA,Santa Clara County,95128,CA18,Assembly District 28,State Senate District 15
2,"$150,000",,,CA,92612,Software and Services,Information Technology,UC Irvine,33.56743472,-117.9316429,Irvine,CA,Orange County,92612,CA48,Assembly District 74,State Senate District 37
15,"$1,600,000",,"$598,832",CA,91320,Research Tools,Research Tools,UC Irvine,34.19090176,-118.9298519,Newbury Park,CA,Ventura County,91320,CA26,Assembly District 44,State Senate District 27
2,"$110,000",,,CA,92704,Medical Diagnostics,Medical,UC Irvine,33.74265879,-117.9678371,Santa Ana,CA,Orange County,92704,CA48,Assembly District 72,State Senate District 34
1,"$59,000",,,CA,92617,Software and Services,Information Technology,UC Irvine,33.639269,-117.83573,Huntington Beach,CA,Orange County,92617,CA45,Assembly District 74,State Senate District 37
3,"$190,000","$65,500,000","$148,285",CA,92008,Medical Therapeutics,Medical,UC Irvine,33.12088431,-117.283582,Carlsbad,CA,San Diego County,92008,CA49,Assembly District 76,State Senate District 36
8,"$200,000","$13,588,000",,CA,92618,Medical Therapeutics,Medical,UC Irvine,33.656601,-117.766686,Irvine,CA,Orange County,92618,CA45,Assembly District 74,State Senate District 37
100,"$18,400,000","$103,630,000",,CA,92610,Energy,Energy,UC Irvine,33.67939232,-117.6604776,Foothill Ranch,CA,Orange County,92610,CA45,Assembly District 68,State Senate District 37
2,"$170,000",,,NY,14227,Medical Devices,Medical,UC Irvine,42.88187515,-78.74350888,Buffalo,NY,Erie County,14227,NY26,Assembly District 143,State Senate District 63
25,"$2,800,000","$65,214,000","$2,409,488",CA,92010,Advanced Materials,Advanced Materials,UC Irvine,33.13128378,-117.2592346,Carlsbad,CA,San Diego County,92008,CA49,Assembly District 76,State Senate District 36
2,,,,CA,91792,Medical Diagnostics,Medical,UC Irvine,34.003655,-117.8916563,West Covina,CA,Los Angeles County,91792,CA32,Assembly District 57,State Senate District 22
,,,,CA,93905,Medical Diagnostics,Medical,UC Irvine,36.69946357,-121.6021111,Salinas,CA,Monterey County,93905,CA20,Assembly District 30,State Senate District 12
1,"$240,000",,"$678,765",CA,92590,Research Tools,Research Tools,UC Irvine,33.51488117,-117.1633663,Temecula,CA,Riverside County,92590,CA50,Assembly District 75,State Senate District 28
,,"$32,000,000",,CA,92617,Medical Therapeutics,Medical,UC Irvine,33.64086,-117.85531,Huntington Beach,CA,Orange County,92617,CA45,Assembly District 74,State Senate District 37
2,"$180,000",,"$139,238",CA,92656,Electronic Systems and Components,Electronic Systems,UC Irvine,33.58564792,-117.7342528,Aliso Viejo,CA,Orange County,92656,CA48,Assembly District 73,State Senate District 36
100,"$17,900,000","$72,700,000",,CA,90404,Medical Therapeutics,Medical,UCLA,34.02430684,-118.4803993,Santa Monica,CA,Los Angeles County,90404,CA33,Assembly District 50,State Senate District 26
5,"$240,000","$4,002,000","$161,000",CA,92010,Medical Therapeutics,Medical,UCLA,33.1585,-117.277163,Sunny Vista,CA,San Diego County,92010,CA49,Assembly District 76,State Senate District 36
5,"$460,000",$0,"$149,997",CA,94080,Energy,Energy,UCLA,37.657443,-122.423483,South San Francisco,CA,San Mateo County,94080,CA14,Assembly District 22,State Senate District 13
,,,"$2,320,782",CA,90095,Electronic Systems & Components,Electronic Systems,UCLA,34.06443016,-118.444913,Los Angeles,CA,Los Angeles County,90024,CA33,Assembly District 54,State Senate District 26
,,,,CA,94022,Research Tools,Research Tools,UCLA,37.40291111,-122.1167653,Los Altos,CA,Santa Clara County,94022,CA18,Assembly District 24,State Senate District 13
,,"$100,777,000",,CA,94025,Medical Devices,Medical,UCLA,37.48257997,-122.1736592,Menlo Park,CA,San Mateo County,94025,CA14,Assembly District 24,State Senate District 13
7,"$520,000",,,CA,90045,Electronic Systems and Components,Electronic Systems,UCLA,33.942108,-118.417488,Los Angeles,CA,Los Angeles County,90045,CA43,Assembly District 62,State Senate District 26
,,,,CA,91381,Medical Therapeutics,Medical,UCLA,34.37340014,-118.5697717,Stevenson Ranch,CA,Los Angeles County,91381,CA25,Assembly District 38,State Senate District 27
17,"$1,500,000","$122,233,000",,CA,92130,Medical Therapeutics,Medical,UCLA,32.94460567,-117.2390099,San Diego,CA,San Diego County,92130,CA52,Assembly District 77,State Senate District 39
107,"$7,310,000","$23,000,000",,CA,92121,Medical Therapeutics,Medical,UCLA,32.90391,-117.207828,San Diego,CA,San Diego County,92121,CA52,Assembly District 77,State Senate District 39
6,"$560,000","$17,000,000","$15,957,972",CA,91302,Medical Therapeutics,Medical,UCLA,34.14125494,-118.7040832,Calabasas,CA,Los Angeles County,91302,CA33,Assembly District 50,State Senate District 27
5,"$370,000","$2,000,000",,CA,95014,Software and Services,Information Technology,UCLA,37.32285663,-122.0247597,Cupertino,CA,Santa Clara County,95014,CA17,Assembly District 28,State Senate District 15
5,"$450,000","$9,283,000","$4,231,735",CA,94080,Medical Therapeutics,Medical,UCLA,37.657443,-122.423483,South San Francisco,CA,San Mateo County,94080,CA14,Assembly District 22,State Senate District 13
2,"$220,000","$6,000,000",,CA,91502,Medical Devices,Medical,UCLA,34.177267,-118.31003,Burbank,CA,Los Angeles County,91502,CA28,Assembly District 43,State Senate District 25
2,"$74,000",,"$390,452",CA,91107,Medical Therapeutics,Medical,UCLA,34.14961071,-118.104472,Pasadena,CA,Los Angeles County,91107,CA27,Assembly District 41,State Senate District 25
,,,,N/A,N/A,Medical Devices,Medical,UCLA,,,,,,,,,
12,"$2,300,000",,"$242,250",IL,60069,Medical Therapeutics,Medical,UCLA,42.1973078,-87.93705651,Lincolnshire,IL,Lake County,60069,IL10,State House District 59,State Senate District 30
,,,,CA,95112,Medical Therapeutics,Medical,UCLA,37.37004,-121.892093,San Jose,CA,Santa Clara County,95112,CA17,Assembly District 25,State Senate District 10
,,,,CA,95833,Agriculture,Agriculture,UCLA,38.60787131,-121.4994044,Sacramento,CA,Sacramento County,95833,CA06,Assembly District 7,State Senate District 6
3,"$140,000","$5,000,000","$93,458",NJ,8837,Medical Therapeutics,Medical,UCLA,40.52609476,-74.31971291,Edison,NJ,Middlesex County,8837,NJ06,General Assembly District 18,State Senate District 18
,,,,CA,90049,Medical Diagnostics,Medical,UCLA,34.091829,-118.491244,Los Angeles,CA,Los Angeles County,90049,CA33,Assembly District 50,State Senate District 26
4,"$330,000",,,CA,91403,Medical Devices,Medical,UCLA,34.13638325,-118.4604685,Sherman Oaks,CA,Los Angeles County,91403,CA30,Assembly District 46,State Senate District 18
3,"$240,000","$10,000,000",,CA,90024,Medical Devices,Medical,UCLA,34.05785142,-118.4472517,Los Angeles,CA,Los Angeles County,90024,CA33,Assembly District 54,State Senate District 26
1,"$120,000","$10,125,000",,CA,90210,Medical Therapeutics,Medical,UCLA,34.07051686,-118.4024969,Beverly Hills,CA,Los Angeles County,90210,CA33,Assembly District 50,State Senate District 26
9,"$790,000","$117,500,000","$1,299,999",CA,90292,Medical Therapeutics,Medical,UCLA,33.98436123,-118.4329513,Marina del Rey,CA,Los Angeles County,90292,CA37,Assembly District 62,State Senate District 26
,,,,CA,92121,Medical Diagnostics,Medical,UCLA,32.90124349,-117.1752472,San Diego,CA,San Diego County,92121,CA52,Assembly District 77,State Senate District 39
,,"$70,000",,MA,1801,Electronic Systems and Components,Electronic Systems,UCLA,42.4998995,-71.1286575,Woburn,MA,Middlesex County,1801,MA05,30th Middlesex District,Fourth Middlesex District
4,"$270,000","$18,000,000",,CA,91107,Medical Therapeutics,Medical,UCLA,34.14961071,-118.104472,Pasadena,CA,Los Angeles County,91107,CA27,Assembly District 41,State Senate District 25
,,,,CA,90077,Research Tools,Research Tools,UCLA,34.125161,-118.447572,Los Angeles,CA,Los Angeles County,90077,CA33,Assembly District 50,State Senate District 26
40,"$5,500,000","$68,215,000","$108,518",CA,94041,Medical Devices,Medical,UCLA,37.388528,-122.075734,Mountain View,CA,Santa Clara County,94041,CA18,Assembly District 24,State Senate District 13
4,"$650,000",,"$1,295,485",CA,90024,Electronic Systems and Components,Electronic Systems,UCLA,34.065729,-118.434999,Los Angeles,CA,Los Angeles County,90024,CA33,Assembly District 54,State Senate District 26
3,"$190,000",,,CA,91789,Research Tools,Research Tools,UCLA,34.47007963,-117.8550197,Walnut,CA,Los Angeles County,91789,CA25,Assembly District 36,State Senate District 21
2,"$130,000","$4,550,000","$549,718",CA,94080,Medical Diagnostics,Medical,UCLA,37.66267098,-122.3859866,South San Francisco,CA,San Mateo County,94080,CA14,Assembly District 22,State Senate District 13
,,,,CA,90232,Energy ,Energy ,UCLA,34.01114808,-118.3898769,Culver City,CA,Los Angeles County,90232,CA37,Assembly District 54,State Senate District 30
,,,,CA,91301,Medical Diagnostics,Medical,UCLA,34.16526467,-118.7529239,Agoura Hills,CA,Los Angeles County,91301,CA33,Assembly District 50,State Senate District 27
3,"$200,000",,,CA,90024,Medical Therapeutics,Medical,UCLA,34.05759446,-118.4291743,Los Angeles,CA,Los Angeles County,90024,CA37,Assembly District 54,State Senate District 26
5,"$270,000",,,MD,20816,Energy,Energy,UCLA,38.955242,-77.113554,Bethesda,MD,Montgomery County,20816,MD08,State Legislative District 16,State Senate District 16
,,,,CA,92660,Medical Devices,Medical,UCLA,33.61904969,-117.8753758,Newport Beach,CA,Orange County,92660,CA48,Assembly District 74,State Senate District 37
4,"$270,000","$2,000,000",,CA,92672,Medical Devices,Medical,UCLA,33.42362,-117.606843,San Clemente,CA,Orange County,92672,CA49,Assembly District 73,State Senate District 36
,,,,CA,91103,Medical Diagnostics,Medical,UCLA,34.16506636,-118.1603594,Pasadena,CA,Los Angeles County,91103,CA27,Assembly District 41,State Senate District 25
23,"$3,500,000","$21,482,000",,CA,92121,"Communications, Information Technology, and Data Processing",Information Technology,UCLA,32.89205269,-117.1973846,San Diego,CA,San Diego County,92121,CA52,Assembly District 77,State Senate District 39
10,"$680,000","$500,000","$788,741",CA,90301,Electronic Systems and Components,Electronic Systems,UCLA,33.95669835,-118.3735491,Inglewood,CA,Los Angeles County,90301,CA43,Assembly District 62,State Senate District 35
,,,,CA,90007,Medical Devices,Medical,UCLA,34.0362752,-118.2915462,Los Angeles,CA,Los Angeles County,90007,CA37,Assembly District 53,State Senate District 30
4,"$100,000",,,MI,48108,Medical Therapeutics,Medical,UCLA,42.23078271,-83.73251343,Ann Arbor,MI,Washtenaw County,48108,MI12,State House District 53,State Senate District 18
112,"$8,220,000","$93,060,000","$1,512,662",CO,80112,Energy,Energy,UCLA,39.581238,-104.862194,Englewood,CO,Arapahoe County,80112,CO06,State House District 37,State Senate District 27
,,"$7,360,000",,CA,90245,Software and Services,Information Technology,UCLA,33.9196142,-118.3891725,El Segundo,CA,Los Angeles County,90245,CA33,Assembly District 62,State Senate District 26
4,"$240,000","$2,500,000","$482,987",CA,90024,Medical Devices,Medical,UCLA,34.0636455,-118.4476365,Los Angeles,CA,Los Angeles County,90024,CA33,Assembly District 54,State Senate District 26
,,,,CA,90272,Medical Therapeutics,Medical,UCLA,34.04194836,-118.560143,Pacific Palisades,CA,Los Angeles County,90272,CA33,Assembly District 50,State Senate District 26
,,,,CA,90066,Research Tools,Research Tools,UCLA,34.016734,-118.42391,Los Angeles,CA,Los Angeles County,90066,CA37,Assembly District 54,State Senate District 30
,,,,CA,94158,Medical Therapeutics,Medical,UCLA,37.768106,-122.386927,San Francisco,CA,San Francisco County,94158,CA12,Assembly District 17,State Senate District 11
5,"$550,000","$33,500,000","$1,295,640",CA,90301,Medical Diagnostics,Medical,UCLA,33.95674792,-118.3735492,Inglewood,CA,Los Angeles County,90301,CA43,Assembly District 62,State Senate District 35
,,,,CA,90740,Medical Diagnostics,Medical,UCLA,33.74141,-118.10479,Seal Beach,CA,Orange County,90740,CA48,Assembly District 72,State Senate District 34
2,"$190,000","$9,000,000",,CA,93012,Medical Therapeutics,Medical,UCLA,34.20742586,-119.0315348,Camarillo,CA,Ventura County,93012,CA26,Assembly District 44,State Senate District 19
1,"$110,000",,"$149,268",CA,90095,Electronic Systems and Components,Electronic Systems,UCLA,34.06443016,-118.444913,Los Angeles,CA,Los Angeles County,90024,CA33,Assembly District 54,State Senate District 26
120,"$13,300,000","$20,899,000",,CA,91016,Electronic Systems and Components,Electronic Systems,UCLA,34.15554625,-117.990749,Monrovia,CA,Los Angeles County,91016,CA32,Assembly District 41,State Senate District 25
7,"$730,000",,"$1,420,626",CA,90250,Medical Devices,Medical,UCLA,33.9192222,-118.3264924,Hawthorne,CA,Los Angeles County,90250,CA43,Assembly District 62,State Senate District 35
,,,,CA,90095,Medical Therapeutics,Medical,UCLA,34.06443016,-118.444913,Los Angeles,CA,Los Angeles County,90024,CA33,Assembly District 54,State Senate District 26
20,"$2,700,000","$45,000,000",,CA,95008,"Communications, Information Technology, and Data Processing",Information Technology,UCLA,37.287026,-121.938066,Campbell,CA,Santa Clara County,95008,CA18,Assembly District 28,State Senate District 15
19,"$1,600,000","$79,192,570",,CA,90404,Medical Therapeutics,Medical,UCLA,34.02819441,-118.4741848,Santa Monica,CA,Los Angeles County,90404,CA33,Assembly District 50,State Senate District 26
64,"$13,900,000","$108,400,000",,CA,91362,Medical Therapeutics,Medical,UCLA,34.194756,-118.823177,Thousand Oaks,CA,Ventura County,91362,CA26,Assembly District 44,State Senate District 27
1,"$85,000",,"$4,188,970",CA,90095,Research Tools,Research Tools,UCLA,34.071312,-118.443545,Los Angeles,CA,Los Angeles County,90095,CA33,Assembly District 54,State Senate District 26
4,"$280,000",,,CA,94301,Research Tools,Research Tools,UCLA,37.44989567,-122.16636,Palo Alto,CA,Santa Clara County,94301,CA18,Assembly District 24,State Senate District 13
,,"$1,600,000",,CA,90230,Energy,Energy,UCLA,33.9887693,-118.3919957,Culver City,CA,Los Angeles County,90230,CA37,Assembly District 54,State Senate District 30
3,"$250,000","$1,000,000",,CA,92121,Electronic Systems and Components,Electronic Systems,UCLA,32.90086726,-117.2240374,San Diego,CA,San Diego County,92121,CA52,Assembly District 77,State Senate District 39
5,"$450,000",,"$147,188",CA,90049,Medical Therapeutics,Medical,UCLA,34.05647876,-118.4676973,Los Angeles,CA,Los Angeles County,90049,CA33,Assembly District 50,State Senate District 26
,,"$4,000,000","$49,994",CA,90301,Medical Therapeutics,Medical,UCLA,33.95512618,-118.3700778,Inglewood,CA,Los Angeles County,90302,CA43,Assembly District 62,State Senate District 35
,,,,CA,93063,Software and Services,Information Technology,UCLA,34.279436,-118.6986406,Simi Valley,CA,Ventura County,93063,CA25,Assembly District 38,State Senate District 27
5,"$310,000","$2,000,000",,CA,95051,Medical Devices,Medical,UCLA,37.348651,-121.984376,Santa Clara,CA,Santa Clara County,95051,CA17,Assembly District 25,State Senate District 10
,,,,CA,90049,Medical Therapeutics,Medical,UCLA,34.091829,-118.491244,Los Angeles,CA,Los Angeles County,90049,CA33,Assembly District 50,State Senate District 26
3,"$200,000",,,PA,19073,Medical Therapeutics,Medical,UCLA,40.01390802,-75.39651845,Newtown Square,PA,Delaware County,19073,PA07,State House District 168,State Senate District 26
